,usageKey,acceptedUsageKey,scientificName,canonicalName,verbatim_name,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,verbatim_index
1450,2431423,NA,"Gyrinophilus porphyriticus (Green, 1827)",Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,Gyrinophilus porphyriticus,1,44,131,953,6748,2431422,2431423,FALSE,1450
1451,2431666,NA,"Hemidactylium scutatum (Temminck, 1838)",Hemidactylium scutatum,Hemidactylium scutatum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,Hemidactylium scutatum,1,44,131,953,6748,2431665,2431666,FALSE,1451
1452,11059103,2427172,"Lithobates clamitans (Latreille, 1801)",Lithobates clamitans,Aquarana clamitans,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates clamitans,1,44,131,952,6746,2427046,2427172,TRUE,1452
1453,2427056,NA,"Lithobates palustris (LeConte, 1825)",Lithobates palustris,Lithobates palustris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates palustris,1,44,131,952,6746,2427046,2427056,FALSE,1453
1454,11059103,2427047,"Lithobates septentrionalis (Baird, 1854)",Lithobates septentrionalis,Aquarana septentrionalis,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates septentrionalis,1,44,131,952,6746,2427046,2427047,TRUE,1454
1455,2427072,NA,"Lithobates sylvaticus (LeConte, 1825)",Lithobates sylvaticus,Lithobates sylvaticus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus,1,44,131,952,6746,2427046,2427072,FALSE,1455
1456,5218390,NA,"Notophthalmus viridescens (Rafinesque, 1820)",Notophthalmus viridescens,Notophthalmus viridescens,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus,Notophthalmus viridescens,1,44,131,953,6750,3241039,5218390,FALSE,1456
1457,2428182,NA,"Pseudacris crucifer (Wied-Neuwied, 1838)",Pseudacris crucifer,Pseudacris crucifer,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris crucifer,1,44,131,952,6735,2428124,2428182,FALSE,1457
1458,2428169,NA,"Pseudacris maculata (Agassiz, 1850)",Pseudacris maculata,Pseudacris maculata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris maculata,1,44,131,952,6735,2428124,2428169,FALSE,1458
1459,2428141,NA,"Pseudacris triseriata (Wied-Neuwied, 1838)",Pseudacris triseriata,Pseudacris triseriata,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,1,44,131,952,6735,2428124,2428141,FALSE,1459
1460,11059103,2427091,"Lithobates catesbeianus (Shaw, 1802)",Lithobates catesbeianus,Aquarana catesbeianus,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates catesbeianus,1,44,131,952,6746,2427046,2427091,TRUE,1460
1461,5323092,NA,Liparis loeselii (L.) Rich.,Liparis loeselii,Liparis loeselii,NA,NA,100,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,Liparis loeselii,6,7707728,196,1169,7689,NA,5323092,FALSE,1461
1462,2429805,NA,"Ascaphus montanus Mittleman & Myers, 1949",Ascaphus montanus,Ascaphus montanus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,Ascaphus montanus,1,44,131,952,4287318,2429803,2429805,FALSE,1462
1463,2429804,NA,"Ascaphus truei Stejneger, 1899",Ascaphus truei,Ascaphus truei,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,Ascaphus truei,1,44,131,952,4287318,2429803,2429804,FALSE,1463
1464,2422882,NA,"Anaxyrus cognatus (Say, 1822)",Anaxyrus cognatus,Anaxyrus cognatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,1,44,131,952,6727,2422857,2422882,FALSE,1464
1465,2422905,NA,"Anaxyrus fowleri (Hinckley, 1882)",Anaxyrus fowleri,Anaxyrus fowleri,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus fowleri,1,44,131,952,6727,2422857,2422905,FALSE,1465
1466,2422941,NA,"Anaxyrus hemiophrys (Cope, 1886)",Anaxyrus hemiophrys,Anaxyrus hemiophrys,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus hemiophrys,1,44,131,952,6727,2422857,2422941,FALSE,1466
1467,10863553,NA,"Dryophytes chrysoscelis (Cope, 1880)",Dryophytes chrysoscelis,Dryophytes chrysoscelis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,Dryophytes chrysoscelis,1,44,131,952,6735,4816258,10863553,FALSE,1467
1468,2426808,NA,"Rana aurora Baird & Girard, 1852",Rana aurora,Rana aurora,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana aurora,1,44,131,952,6746,2422253,2426808,FALSE,1468
1469,2426785,NA,"Rana luteiventris Thompson, 1913",Rana luteiventris,Rana luteiventris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana luteiventris,1,44,131,952,6746,2422253,2426785,FALSE,1469
1470,2429789,NA,"Spea bombifrons (Cope, 1863)",Spea bombifrons,Spea bombifrons,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea bombifrons,1,44,131,952,3098,2429782,2429789,FALSE,1470
1471,2429791,NA,"Spea intermontana (Cope, 1883)",Spea intermontana,Spea intermontana,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,Spea intermontana,1,44,131,952,3098,2429782,2429791,FALSE,1471
1472,2431998,NA,"Ambystoma gracile (Baird, 1859)",Ambystoma gracile,Ambystoma gracile,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma gracile,1,44,131,953,3101,2431549,2431998,FALSE,1472
1473,2431962,NA,"Ambystoma jeffersonianum (Green, 1827)",Ambystoma jeffersonianum,Ambystoma jeffersonianum,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma jeffersonianum,1,44,131,953,3101,2431549,2431962,FALSE,1473
